 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  2.27000  0.99936  1.43906    1.41321    1.79336    2.17792     2.30372     2.41760      2.55220
  2.28000  0.99937  1.44188    1.41330    1.79364    2.17925     2.30636     2.42234      2.55721
  2.29000  0.99938  1.44470    1.41339    1.79392    2.18052     2.30888     2.42708      2.56220
  2.30000  0.99939  1.44751    1.41348    1.79418    2.18174     2.31129     2.43180      2.56719
  2.31000  0.99941  1.45032    1.41357    1.79443    2.18290     2.31359     2.43651      2.57216
  2.32000  0.99942  1.45311    1.41365    1.79467    2.18401     2.31578     2.44121      2.57712
  2.33000  0.99943  1.45590    1.41373    1.79490    2.18507     2.31788     2.44590      2.58207
  2.34000  0.99945  1.45869    1.41381    1.79512    2.18609     2.31989     2.45058      2.58701
  2.35000  0.99946  1.46147    1.41389    1.79533    2.18706     2.32180     2.45524      2.59194
  2.36000  0.99947  1.46424    1.41396    1.79553    2.18799     2.32363     2.45976      2.59685
  2.37000  0.99949  1.46700    1.41403    1.79573    2.18887     2.32537     2.46408      2.60176
  2.38000  0.99950  1.46976    1.41410    1.79591    2.18972     2.32704     2.46819      2.60665
  2.39000  0.99951  1.47251    1.41416    1.79609    2.19053     2.32862     2.47212      2.61153
  2.40000  0.99953  1.47526    1.41422    1.79627    2.19130     2.33014     2.47586      2.61640
  2.41000  0.99954  1.47800    1.41428    1.79643    2.19203     2.33158     2.47943      2.62126
  2.42000  0.99955  1.48073    1.41434    1.79659    2.19273     2.33296     2.48283      2.62610
  2.43000  0.99956  1.48346    1.41440    1.79674    2.19340     2.33427     2.48607      2.63094
  2.44000  0.99958  1.48618    1.41445    1.79688    2.19404     2.33553     2.48916      2.63577
  2.45000  0.99959  1.48889    1.41451    1.79702    2.19465     2.33672     2.49210      2.64058
  2.46000  0.99960  1.49160    1.41456    1.79716    2.19523     2.33785     2.49490      2.64538
  2.47000  0.99961  1.49430    1.41461    1.79728    2.19579     2.33894     2.49757      2.65017
  2.48000  0.99962  1.49700    1.41465    1.79740    2.19631     2.33997     2.50011      2.65495
  2.49000  0.99964  1.49969    1.41470    1.79752    2.19682     2.34095     2.50253      2.65972
  2.50000  0.99965  1.50237    1.41474    1.79763    2.19730     2.34189     2.50483      2.66448
  2.51000  0.99966  1.50505    1.41478    1.79774    2.19775     2.34278     2.50702      2.66923
  2.52000  0.99967  1.50772    1.41482    1.79784    2.19819     2.34363     2.50910      2.67397
  2.53000  0.99968  1.51039    1.41486    1.79794    2.19860     2.34443     2.51108      2.67870
  2.54000  0.99969  1.51304    1.41490    1.79803    2.19900     2.34520     2.51296      2.68341
  2.55000  0.99970  1.51570    1.41493    1.79812    2.19937     2.34593     2.51475      2.68812
  2.56000  0.99971  1.51835    1.41497    1.79821    2.19973     2.34662     2.51645      2.69281
  2.57000  0.99972  1.52099    1.41500    1.79829    2.20007     2.34729     2.51807      2.69750
  2.58000  0.99973  1.52362    1.41503    1.79837    2.20040     2.34791     2.51961      2.70217
  2.59000  0.99974  1.52625    1.41506    1.79844    2.20070     2.34851     2.52107      2.70684
  2.60000  0.99975  1.52888    1.41509    1.79851    2.20100     2.34908     2.52246      2.71149
  2.61000  0.99976  1.53149    1.41512    1.79858    2.20128     2.34962     2.52377      2.71613
  2.62000  0.99977  1.53411    1.41515    1.79864    2.20154     2.35013     2.52502      2.72077
  2.63000  0.99978  1.53671    1.41518    1.79871    2.20179     2.35061     2.52621      2.72538
  2.64000  0.99978  1.53932    1.41520    1.79877    2.20203     2.35108     2.52734      2.72983
  2.65000  0.99979  1.54191    1.41522    1.79882    2.20226     2.35151     2.52841      2.73405
  2.66000  0.99980  1.54450    1.41525    1.79888    2.20248     2.35193     2.52942      2.73805
  2.67000  0.99981  1.54709    1.41527    1.79893    2.20268     2.35233     2.53038      2.74184
  2.68000  0.99982  1.54966    1.41529    1.79898    2.20288     2.35270     2.53130      2.74544
  2.69000  0.99982  1.55224    1.41531    1.79902    2.20306     2.35306     2.53216      2.74885
  2.70000  0.99983  1.55481    1.41533    1.79907    2.20324     2.35339     2.53298      2.75208
  2.71000  0.99984  1.55737    1.41535    1.79911    2.20340     2.35371     2.53376      2.75514
  2.72000  0.99984  1.55993    1.41537    1.79915    2.20356     2.35402     2.53450      2.75804
  2.73000  0.99985  1.56248    1.41538    1.79919    2.20371     2.35431     2.53520      2.76078
  2.74000  0.99986  1.56502    1.41540    1.79923    2.20385     2.35458     2.53586      2.76338
  2.75000  0.99986  1.56756    1.41542    1.79926    2.20399     2.35484     2.53648      2.76584
  2.76000  0.99987  1.57010    1.41543    1.79929    2.20412     2.35508     2.53708      2.76817
  2.77000  0.99987  1.57263    1.41545    1.79933    2.20424     2.35531     2.53764      2.77038
  2.78000  0.99988  1.57516    1.41546    1.79936    2.20436     2.35553     2.53817      2.77246
  2.79000  0.99988  1.57768    1.41547    1.79939    2.20446     2.35574     2.53867      2.77444
  2.80000  0.99989  1.58019    1.41549    1.79941    2.20457     2.35594     2.53915      2.77630
